item_id,verb,category,form,subject,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
whistle-way,whistle,manner,way,Mia,Mia whistled her way down the hall.,Mia moved from one place to another.,0,YES,1
whistle-ctrl-loc,whistle,manner,ctrl-loc,Mia,Mia whistled in the hall.,Mia moved from one place to another.,1,CANT_TELL,0
whistle-ctrl-motion,whistle,manner,ctrl-motion,Mia,"Mia walked down the hall, whistling.",Mia moved from one place to another.,0,YES,1
hum-way,hum,manner,way,Theo,Theo hummed his way through the crowd.,Theo moved from one place to another.,0,YES,1
hum-ctrl-loc,hum,manner,ctrl-loc,Theo,Theo hummed in the crowd.,Theo moved from one place to another.,1,CANT_TELL,0
hum-ctrl-motion,hum,manner,ctrl-motion,Theo,"Theo pushed through the crowd, humming.",Theo moved from one place to another.,0,YES,1
laugh-way,laugh,manner,way,Priya,Priya laughed her way across the room.,Priya moved from one place to another.,0,YES,1
laugh-ctrl-loc,laugh,manner,ctrl-loc,Priya,Priya laughed in the room.,Priya moved from one place to another.,1,CANT_TELL,0
laugh-ctrl-motion,laugh,manner,ctrl-motion,Priya,"Priya strode across the room, laughing.",Priya moved from one place to another.,0,YES,1
mutter-way,mutter,manner,way,Karl,Karl muttered his way along the corridor.,Karl moved from one place to another.,0,YES,1
mutter-ctrl-loc,mutter,manner,ctrl-loc,Karl,Karl muttered in the corridor.,Karl moved from one place to another.,1,CANT_TELL,0
mutter-ctrl-motion,mutter,manner,ctrl-motion,Karl,"Karl walked along the corridor, muttering.",Karl moved from one place to another.,0,YES,1
sing-way,sing,manner,way,Lena,Lena sang her way up the stairs.,Lena moved from one place to another.,0,YES,1
sing-ctrl-loc,sing,manner,ctrl-loc,Lena,Lena sang on the stairs.,Lena moved from one place to another.,1,CANT_TELL,0
sing-ctrl-motion,sing,manner,ctrl-motion,Lena,"Lena climbed up the stairs, singing.",Lena moved from one place to another.,0,YES,1
sob-way,sob,manner,way,Dani,Dani sobbed their way out of the office.,Dani moved from one place to another.,0,YES,1
sob-ctrl-loc,sob,manner,ctrl-loc,Dani,Dani sobbed in the office.,Dani moved from one place to another.,1,CANT_TELL,0
sob-ctrl-motion,sob,manner,ctrl-motion,Dani,"Dani walked out of the office, sobbing.",Dani moved from one place to another.,0,YES,1
eat-way,eat,activity,way,Sofia,Sofia ate her way across the buffet.,Sofia moved from one place to another.,0,YES,1
eat-ctrl-loc,eat,activity,ctrl-loc,Sofia,Sofia ate at the buffet.,Sofia moved from one place to another.,1,CANT_TELL,0
eat-ctrl-motion,eat,activity,ctrl-motion,Sofia,"Sofia moved across the buffet, eating.",Sofia moved from one place to another.,0,YES,1
drink-way,drink,activity,way,Nico,Nico drank his way down the bar.,Nico moved from one place to another.,0,YES,1
drink-ctrl-loc,drink,activity,ctrl-loc,Nico,Nico drank at the bar.,Nico moved from one place to another.,1,CANT_TELL,0
drink-ctrl-motion,drink,activity,ctrl-motion,Nico,"Nico moved down the bar, drinking.",Nico moved from one place to another.,0,YES,1
chat-way,chat,activity,way,Hana,Hana chatted her way through the gallery.,Hana moved from one place to another.,0,YES,1
chat-ctrl-loc,chat,activity,ctrl-loc,Hana,Hana chatted in the gallery.,Hana moved from one place to another.,1,CANT_TELL,0
chat-ctrl-motion,chat,activity,ctrl-motion,Hana,"Hana wandered through the gallery, chatting.",Hana moved from one place to another.,0,YES,1
joke-way,joke,activity,way,Owen,Owen joked his way down the aisle.,Owen moved from one place to another.,0,YES,1
joke-ctrl-loc,joke,activity,ctrl-loc,Owen,Owen joked in the aisle.,Owen moved from one place to another.,1,CANT_TELL,0
joke-ctrl-motion,joke,activity,ctrl-motion,Owen,"Owen walked down the aisle, joking.",Owen moved from one place to another.,0,YES,1
gossip-way,gossip,activity,way,Bea,Bea gossiped her way across the lobby.,Bea moved from one place to another.,0,YES,1
gossip-ctrl-loc,gossip,activity,ctrl-loc,Bea,Bea gossiped in the lobby.,Bea moved from one place to another.,1,CANT_TELL,0
gossip-ctrl-motion,gossip,activity,ctrl-motion,Bea,"Bea walked across the lobby, gossiping.",Bea moved from one place to another.,0,YES,1
snack-way,snack,activity,way,Tara,Tara snacked her way through the food court.,Tara moved from one place to another.,0,YES,1
snack-ctrl-loc,snack,activity,ctrl-loc,Tara,Tara snacked in the food court.,Tara moved from one place to another.,1,CANT_TELL,0
snack-ctrl-motion,snack,activity,ctrl-motion,Tara,"Tara wandered through the food court, snacking.",Tara moved from one place to another.,0,YES,1
wait-way,wait,anti-motion,way,Felix,Felix waited his way up the queue.,Felix moved from one place to another.,0,YES,1
wait-ctrl-loc,wait,anti-motion,ctrl-loc,Felix,Felix waited in the queue.,Felix moved from one place to another.,1,CANT_TELL,0
wait-ctrl-motion,wait,anti-motion,ctrl-motion,Felix,"Felix edged up the queue, waiting.",Felix moved from one place to another.,0,YES,1
rest-way,rest,anti-motion,way,Pavel,Pavel rested his way up the mountain.,Pavel moved from one place to another.,0,YES,1
rest-ctrl-loc,rest,anti-motion,ctrl-loc,Pavel,Pavel rested on the mountain.,Pavel moved from one place to another.,1,CANT_TELL,0
rest-ctrl-motion,rest,anti-motion,ctrl-motion,Pavel,"Pavel climbed up the mountain, resting.",Pavel moved from one place to another.,0,YES,1
kneel-way,kneel,anti-motion,way,Raj,Raj knelt his way along the pew.,Raj moved from one place to another.,0,YES,1
kneel-ctrl-loc,kneel,anti-motion,ctrl-loc,Raj,Raj knelt at the pew.,Raj moved from one place to another.,1,CANT_TELL,0
kneel-ctrl-motion,kneel,anti-motion,ctrl-motion,Raj,"Raj shuffled along the pew, kneeling.",Raj moved from one place to another.,0,YES,1
crouch-way,crouch,anti-motion,way,Cora,Cora crouched her way through the tunnel.,Cora moved from one place to another.,0,YES,1
crouch-ctrl-loc,crouch,anti-motion,ctrl-loc,Cora,Cora crouched in the tunnel.,Cora moved from one place to another.,1,CANT_TELL,0
crouch-ctrl-motion,crouch,anti-motion,ctrl-motion,Cora,"Cora crept through the tunnel, crouching.",Cora moved from one place to another.,0,YES,1
pause-way,pause,anti-motion,way,Ines,Ines paused her way down the hallway.,Ines moved from one place to another.,0,YES,1
pause-ctrl-loc,pause,anti-motion,ctrl-loc,Ines,Ines paused in the hallway.,Ines moved from one place to another.,1,CANT_TELL,0
pause-ctrl-motion,pause,anti-motion,ctrl-motion,Ines,"Ines walked down the hallway, pausing.",Ines moved from one place to another.,0,YES,1
linger-way,linger,anti-motion,way,Wendy,Wendy lingered her way through the museum.,Wendy moved from one place to another.,0,YES,1
linger-ctrl-loc,linger,anti-motion,ctrl-loc,Wendy,Wendy lingered in the museum.,Wendy moved from one place to another.,1,CANT_TELL,0
linger-ctrl-motion,linger,anti-motion,ctrl-motion,Wendy,"Wendy wandered through the museum, lingering.",Wendy moved from one place to another.,0,YES,1
talk-idiomatic,talk,idiomatic,idiomatic,Elena,Elena talked her way out of trouble.,Elena moved from one place to another.,1,CANT_TELL,0
work-idiomatic,work,idiomatic,idiomatic,Marcus,Marcus worked his way up the company.,Marcus moved from one place to another.,1,CANT_TELL,0
find-idiomatic,find,idiomatic,idiomatic,Dora,Dora found her way around the new software.,Dora moved from one place to another.,1,CANT_TELL,0
lose-idiomatic,lose,idiomatic,idiomatic,Daniel,Daniel lost his way in his career.,Daniel moved from one place to another.,1,CANT_TELL,0
argue-idiomatic,argue,idiomatic,idiomatic,the partners,The partners argued their way to a compromise.,The partners moved from one place to another.,1,CANT_TELL,0
scheme-idiomatic,scheme,idiomatic,idiomatic,Vera,Vera schemed her way into politics.,Vera moved from one place to another.,1,CANT_TELL,0
